id_venda;id_cliente;id_produto;categoria;subcategoria;quantidade;custo_unitario;preco_unitario;receita;lucro;forma_pagamento;canal_venda;regiao;estado;data_venda;ano;mes;anomes
1;52978;8989;Alimentos;Congelados;4;163,76;316,56;1266,24;611,2;Dinheiro;Loja Física;Sudeste;GO;2015-12-14;2015;12;201512
2;73783;5763;Escritório;Informática;9;164,56;312,15;2809,35;1328,31;PIX;Loja Física;Norte;AM;2018-11-21;2018;11;201811
3;58820;9027;Móveis;Sofás;6;230,63;307,77;1846,62;462,84;Boleto;Marketplace;Centro-Oeste;SP;2015-04-05;2015;4;201504
4;16787;9502;Vestuário;Camisetas;8;138,47;234,46;1875,68;767,92;Cartão Débito;Loja Física;Sul;ES;2022-03-25;2022;3;202203
5;49940;7447;Eletrônicos;Acessórios;3;329,35;746,44;2239,32;1251,27;PIX;E-commerce;Norte;PE;2018-03-13;2018;3;201803
6;52633;8833;Escritório;Organização;2;302,42;635,97;1271,94;667,1;Boleto;E-commerce;Centro-Oeste;GO;2022-09-23;2022;9;202209
7;19297;6537;Eletrônicos;Notebooks;5;229,72;445,36;2226,8;1078,2;Cartão Crédito;E-commerce;Nordeste;PE;2021-12-27;2021;12;202112
8;65118;3849;Alimentos;Mercearia;6;384,42;924,59;5547,54;3241,02;Dinheiro;Marketplace;Norte;SP;2023-03-06;2023;3;202303
9;81117;8971;Eletrônicos;TVs;7;381,52;670,94;4696,58;2025,94;Cartão Débito;E-commerce;Norte;PR;2024-06-28;2024;6;202406
10;58345;2572;Alimentos;Congelados;9;353;570,19;5131,71;1954,71;Cartão Crédito;Loja Física;Centro-Oeste;CE;2023-05-18;2023;5;202305
11;16967;2991;Móveis;Armários;8;241,88;526,69;4213,52;2278,48;PIX;Marketplace;Norte;SC;2021-11-23;2021;11;202111
12;34475;1880;Eletrônicos;Notebooks;8;310,78;673,71;5389,68;2903,44;Cartão Crédito;Loja Física;Sudeste;RS;2022-07-25;2022;7;202207
13;56762;6047;Vestuário;Camisetas;8;325,56;738,1;5904,8;3300,32;Dinheiro;Loja Física;Sudeste;BA;2022-06-10;2022;6;202206
14;94881;7799;Vestuário;Tênis;5;77,87;177,1;885,5;496,15;Cartão Crédito;E-commerce;Centro-Oeste;GO;2021-06-26;2021;6;202106
15;11191;1394;Escritório;Organização;4;235,43;564,93;2259,72;1318;Cartão Crédito;Loja Física;Centro-Oeste;PE;2015-07-02;2015;7;201507
16;49650;4431;Alimentos;Mercearia;9;69,31;160,25;1442,25;818,46;Cartão Crédito;E-commerce;Norte;CE;2023-07-11;2023;7;202307
